Codigo;Nombre estacion;Inicio;Fin;Latitud;Longitud;X;Y;Elevacion;Departamento;% de faltantes;Tendencia;Beta;M24;PP media
26180160;Abejorral;3/06/1970;16/03/2025;5.785972222;-75.43041667;4730952.206;2197914.706;2170;Antioquia;2.97;No;-0.498;67.43;2255.789344
11110020;Abriaqui;1/01/1975;16/03/2025;6.6425;-76.075;4660087.269;2293040.368;1920;Antioquia;0.8;Sí;-0.537;61.87;2220.264509
23085030;Alejandria;1/09/1988;16/03/2025;6.37625;-75.14338889;4763000.65;2263056.338;1712;Antioquia;0.34;No;-0.494;108.92;4644.933611
23085270;Aeropuerto Jose Maria Cordova;1/02/1978;16/03/2025;6.1686111;-75.42611111;4731615.827;2240230.801;2073;Antioquia;11.5;No;-0.523;59.1;2003.00325
23095010;Aeropuerto Puerto Berrio;1/08/1975;26/09/2013;6.465;-74.41222222;4843894.687;2272587.349;150;Antioquia;3.56;Sí;-0.652;115.89;2586.403003
23175020;Aeropuerto OTU;1/05/1940;1/03/2025;7.01175;-74.71630556;4810485.204;2333133.755;643;Antioquia;7.72;Sí;-0.623;108.8;2796.245011
27015330;Aeropuerto Olaya Herrera;1/01/1941;16/03/2025;6.2246389;-75.5882;4713703.647;2246512.439;1492;Antioquia;4.75;Sí;-0.583;56.9;1651.349847
26210090;Anza;1/11/1970;16/03/2025;6.303138889;-75.85925;4683745.179;2255352.018;743;Antioquia;0.42;No;-0.524;72.6;1716.409979
26210140;Altamira;7/04/1975;15/03/2025;6.2188;-75.9449;4674211.2;2246073.315;1816;Antioquia;2.04;Sí;-0.534;74.72;2027.412814
27010850;Amalfi;14/10/1970;5/11/2022;6.905555556;-75.07722222;4770565.539;2321552.682;1530;Antioquia;2;No;-0.402;85.64;3066.187726
27015110;Aragon;5/05/1970;31/08/2016;6.780063889;-75.55571917;4717609.44;2307929.359;2652;Antioquia;3.97;No;-0.525;49.63;1909.829047
27020210;Angostura;30/10/1970;16/03/2025;6.883055556;-75.33247222;4742345.962;2319194.951;1650;Antioquia;0.37;No;-0.543;89.75;2904.873139
27025030;Anori;1/07/1975;15/08/2023;7.0719;-75.1505;4762552.211;2339982.707;1601;Antioquia;3.63;Sí;-0.553;80.66;2809.857573
27040020;Alto del Indio;15/05/1970;28/02/2025;7.531;-74.95275;4784615.438;2390647.357;125;Antioquia;8.17;No;-0.549;126.55;3960.527511
26190090;Betania - Las guacas;1/01/1957;16/03/2025;5.755;-75.97552778;4670541.704;2194775.254;1600;Antioquia;18.94;Sí;-0.568;79.63;2673.600589
26200140;Armenia;1/04/1975;30/12/2023;6.157972222;-75.77152778;4693371.108;2239240.369;1620;Antioquia;3.55;Sí;-0.587;77.18;2244.650828
26250110;Barro blanco;27/03/1984;1/03/2025;7.474111111;-75.26438889;4750193.579;2384522.036;190;Antioquia;1.11;No;-0.513;142.46;5336.28666
27010870;Belmira;8/11/1970;16/03/2025;6.609166667;-75.66833333;4705054.964;2289092.053;2540;Antioquia;1.79;No;-0.556;56.92;2075.117031
27011110;Astilleros;1/01/1991;28/02/2025;6.257305556;-75.67586111;4704018.462;2250174.309;2450;Antioquia;0.09;No;-0.595;72.74;2258.011765
11110110;Boqueron de Toyo;16/05/1983;11/04/2011;6.699444444;-75.9775;4670912.731;2299275.136;20;Antioquia;15.24;Sí;-0.526;78.71;2347.565364
23100050;La Bodega;1/01/1996;17/03/2025;6.715833333;-74.41;4844218.701;2300312.089;165;Antioquia;5.77;No;-0.626;113.18;2678.764089
26200130;Bolombolo;15/05/1980;17/03/2025;5.9681;-75.8374;4685967.551;2218272.811;530;Antioquia;0.58;No;-0.585;69.77;1886.858523
26210070;La Caicedo;27/10/1970;31/01/2025;6.4049;-75.9818;4670243.34;2266687.521;1778;Antioquia;4.12;No;-0.54;61.46;1751.381426
26230160;Briceño;1/11/1970;28/02/2025;7.105277778;-75.51166667;4722670.765;2343874.482;1440;Antioquia;1.39;No;-0.501;146.07;5946.142741
26250030;Caceres;10/05/1970;17/03/2025;7.579055556;-75.34783333;4741045.431;2396176.627;95;Antioquia;2.18;Sí;-0.514;128.38;3920.28758
26255040;Cacaoteras del Diq;1/07/1968;6/04/2008;7.983333333;-75.11666667;4766777.581;2440750.248;55;Antioquia;6.4;Sí;-0.623;115.99;2745.831025
11115020;Cañasgordas;11/07/1973;30/09/2024;6.758027778;-76.02966667;4665182.005;2305792.852;1294;Antioquia;6.31;No;-0.547;70.73;2400.197136
23070010;Claro de luna;1/05/1988;30/09/2024;5.861546;-74.761977;4805002.12;2205996.143;317;Antioquia;7.68;Sí;-0.58;110.49;2947.657193
