HYBAS_ID;n_estaciones;n_anios_areal;R3_areal;R4_puntual;FRA
6080078120;5;35;113.9383038;143.0416393;0.80
6080078150;7;28;79.37135051;123.8084698;0.64
6080078690;2;39;77.70971538;86.67375116;0.90
6080080190;6;33;85.4652971;129.713203;0.66
6080080350;4;42;102.3324407;133.0866614;0.77
6080081930;3;40;81.88782257;109.7814925;0.75
6080081940;4;41;80.08544993;116.8584758;0.69
6080084880;4;46;117.5320384;140.851266;0.83
6080084980;8;35;74.11583885;120.5344842;0.61
6080085120;4;40;58.67729435;87.71290139;0.67
6080085290;13;41;59.72093837;116.5377178;0.51
6080086830;3;53;120.7725878;132.6462364;0.91
6080087570;4;48;98.94089302;118.277626;0.84
6080087600;3;42;86.95892679;116.8374738;0.74
6080088650;16;48;48.53026755;89.62638899;0.54
6080088760;10;30;62.85690355;110.8177802;0.57
6080089040;1;43;105.1162791;105.1162791;1.00
6080089660;3;46;82.54144754;115.9039462;0.71
6080089730;7;46;64.74675448;94.77142794;0.68
6080089740;3;45;103.1486354;126.338751;0.82
6080090370;4;49;62.27159299;69.16952228;0.90
6080090980;4;51;90.04138648;116.9059907;0.77
6080091020;16;24;34.67915662;66.65474094;0.52
6080091060;7;30;35.68916554;64.2378824;0.56
6080092180;4;25;82.31595055;112.9076372;0.73
6080092490;3;46;90.71363755;117.2775841;0.77
6080092580;6;49;57.57542217;81.66581931;0.71
6080093290;3;39;47.02055897;66.86827418;0.70
6080094190;7;50;46.76678291;68.73811223;0.68
6080094200;4;46;64.61884933;74.6323979;0.87
6080094960;1;45;122.6044444;122.6044444;1.00
6080095830;6;11;94.92629006;117.955629;0.80
6080097070;13;26;52.18874032;97.36508212;0.54
6080097100;5;27;84.96226743;114.8905397;0.74
6080097180;4;8;77.0529625;111.3859424;0.69
6080097460;11;43;33.39715967;58.20945972;0.57
6080097500;16;38;39.78589518;70.14343997;0.57
6080098050;7;48;40.82615188;64.21956308;0.64
6080098160;9;30;43.67955799;73.5646404;0.59
6080099560;4;50;52.29964848;63.45275437;0.82
6080099640;4;47;63.1235099;68.85382949;0.92
6080099730;6;20;43.27651608;59.0611409;0.73
6080099740;9;49;43.27846908;75.89672981;0.57
6080100480;2;39;110.4184769;111.6288538;0.99
6080100530;4;29;65.59538923;107.4967891;0.61
6080101410;18;31;41.49123221;77.47839297;0.54
6080101520;3;34;99.52921281;106.7021671;0.93
6080101530;9;24;62.67459633;100.7613067;0.62
6080101560;9;42;56.98043989;95.96536427;0.59
6080101620;2;36;105.0066667;105.5730402;0.99
6080102390;14;40;64.49056602;103.4081073;0.62
6080103490;5;44;51.72022673;82.42411953;0.63
6080103540;7;42;46.75934594;79.59021958;0.59
6080104080;5;32;93.85982764;120.6660505;0.78
6080104150;3;23;79.7935087;103.2591781;0.77
6080105420;8;50;41.29805267;73.26415199;0.56
6080105430;14;46;46.27910318;80.54119459;0.57
6080105730;3;48;105.7011907;110.6048491;0.96
6080106280;5;32;92.38805029;112.7195824;0.82
6080107280;20;10;58.56658055;112.9775837;0.52
6080107350;2;42;91.59822857;104.6855409;0.87
6080107870;16;29;37.75388296;70.20160441;0.54
6080107990;8;47;52.74463518;83.47337569;0.63
6080108240;7;42;77.84160637;117.2392794;0.66
6080112370;8;47;44.8407992;64.66169365;0.69
6080112430;13;5;39.91194467;74.60202039;0.53
6080113930;3;32;62.15048438;70.00277012;0.89
6080114800;11;45;47.21151276;79.93794936;0.59
6080117040;19;14;46.38024776;83.1591209;0.56
6080117050;14;11;35.43311623;65.95142947;0.54
6080120550;3;39;61.78407025;75.9257702;0.81
6080120560;10;0;;84.56039005;
6080120650;16;9;38.97660247;73.4909578;0.530359158
6080122070;5;17;54.01575483;78.90724904;0.684547434
